Escuela Ingreso,Licenciatura,Bioquimica Diagnostico Inicial,Intentos,Calificacion,Fecha,Bioquimica Diagnostico Final,Intentos,Calificacion,Fecha,Topicos de Salud I Diagnostico Inicial,Intentos,Calificacion,Fecha,Topicos de Salud I Diagnostico Final,Intentos,Calificacion,Fecha,Topicos de Salud II Diagnostico Inicial,Intentos,Calificacion,Fecha,Topicos de Salud II Diagnostico Final,Intentos,Calificacion,Fecha,Introducción a la Ética Diagnostico Inicial,Intentos,Calificacion,Fecha,Introducción a la Ética Diagnostico Final,Intentos,Calificacion,Fecha,Biologia Celular Diagnostico Inicial,Intentos,Calificacion,Fecha,Biologia Celular Diagnostico Final,Intentos,Calificacion,Fecha,"Lectura y Redacción, Diagnostico Inicial",Intentos,Calificacion,Fecha,"Lectura y Redacción, Diagnostico Final",Intentos,Calificacion,Fecha,"Matematicas, Diagnostico Inicial",Intentos,Calificacion,Fecha,"Matematicas, Diagnostico Final",Intentos,Calificacion,Fecha,"Estadistica en la investigación social, Diagnostico Inicial",Intentos,Calificacion,Fecha,"Estadistica en la investigación social, Diagnostico Final",Intentos,Calificacion,Fecha
fm-cu,medico_cirujano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,10,2025-08-01,,1,9,2025-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,5,2025-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,neurociencias,Bioquimica Diagnostico Final,1,7,2025-08-01,,3,10,2025-08-14,Topicos de Salud I Diagnostico Inicial,1,8,2025-08-01,,,,,Topicos de Salud II Diagnostico Inicial,1,6,2025-08-01,,,,,Introducción a la Ética Diagnostico Inicial,1,9,2025-08-01,,,,,Biologia Celular Diagnostico Inicial,1,9,2025-08-01,,,,,"Lectura y Redacción, Diagnostico Inicial",1,10,2025-08-01,,,,,"Matematicas, Diagnostico Inicial",1,9,2025-08-01,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,7,2025-08-01,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,7,2025-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,7,2025-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,10,2025-08-01,,1,9,2025-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,6,2025-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,7,2025-08-01,,1,10,2025-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,5,2025-08-01,,,,,Topicos de Salud I Diagnostico Inicial,1,9,2025-08-01,,,,,Topicos de Salud II Diagnostico Inicial,1,8,2025-08-01,,,,,,,,,,,,,Biologia Celular Diagnostico Inicial,1,7,2025-08-01,,,,,,,,,,,,,"Matematicas, Diagnostico Inicial",1,8,2025-08-01,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,8,2025-08-01,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,6,2025-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,3,2025-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,6,2025-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,6,2025-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,3,2025-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,fisioterapia,Bioquimica Diagnostico Inicial,1,9,2025-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,fisioterapia,Bioquimica Diagnostico Inicial,2,5,2025-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,7,2025-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,6,2025-08-02,,2,10,2025-08-13,Topicos de Salud I Diagnostico Inicial,1,4,2025-08-01,,,,,Topicos de Salud II Diagnostico Inicial,1,9,2025-08-02,,,,,Introducción a la Ética Diagnostico Inicial,1,8,2025-08-02,,,,,Biologia Celular Diagnostico Inicial,1,9,2025-08-02,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,2025-08-02,,,,,"Matematicas, Diagnostico Inicial",1,9,2025-08-02,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,6,2025-08-02,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,10,2025-08-13,,2,10,2025-08-13,Topicos de Salud I Diagnostico Inicial,1,9,2025-08-13,,,,,Topicos de Salud II Diagnostico Inicial,1,7,2025-08-13,,,,,Introducción a la Ética Diagnostico Inicial,1,8,2025-08-13,,,,,Biologia Celular Diagnostico Inicial,1,10,2025-08-13,,,,,"Lectura y Redacción, Diagnostico Inicial",1,7,2025-08-13,,,,,,,,,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,9,2025-08-13,,,,
fm-cu,medico_cirujano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,10,2025-08-04,,,,,Topicos de Salud I Diagnostico Inicial,1,9,2025-08-04,,,,,Topicos de Salud II Diagnostico Inicial,1,10,2025-08-04,,,,,Introducción a la Ética Diagnostico Inicial,1,7,2025-08-04,,,,,Biologia Celular Diagnostico Inicial,1,9,2025-08-04,,,,,"Lectura y Redacción, Diagnostico Inicial",1,7,2025-08-04,,,,,"Matematicas, Diagnostico Inicial",1,9,2025-08-04,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,8,2025-08-04,,,,
fm-cu,neurociencias,Bioquimica Diagnostico Final,1,8,2025-08-06,,1,10,2025-08-16,,,,,,,,,Topicos de Salud II Diagnostico Inicial,1,8,2025-08-06,,,,,,,,,,,,,Biologia Celular Diagnostico Inicial,1,10,2025-08-12,,,,,"Lectura y Redacción, Diagnostico Inicial",1,10,2025-08-06,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,9,2025-08-01,,2,10,2025-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,fisioterapia,Bioquimica Diagnostico Inicial,1,4,2025-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,8,2025-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,6,2025-08-01,,,,,Topicos de Salud I Diagnostico Inicial,1,2,2025-08-01,,,,,Topicos de Salud II Diagnostico Inicial,1,7,2025-08-01,,,,,Introducción a la Ética Diagnostico Inicial,1,6,2025-08-01,,,,,Biologia Celular Diagnostico Inicial,1,6,2025-08-01,,,,,"Lectura y Redacción, Diagnostico Inicial",1,2,2025-08-01,,,,,"Matematicas, Diagnostico Inicial",1,1,2025-08-01,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,3,2025-08-01,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,9,2025-08-06,,1,10,2025-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,fisioterapia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,fisioterapia,Bioquimica Diagnostico Final,1,4,2025-08-01,,4,10,2025-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,5,2025-08-02,,,,,Topicos de Salud I Diagnostico Inicial,1,6,2025-08-02,,,,,Topicos de Salud II Diagnostico Inicial,1,6,2025-08-02,,,,,Introducción a la Ética Diagnostico Inicial,1,6,2025-08-02,,,,,Biologia Celular Diagnostico Inicial,1,5,2025-08-02,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,2025-08-02,,,,,"Matematicas, Diagnostico Inicial",1,6,2025-08-02,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,6,2025-08-02,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,5,2025-08-02,,1,9,2025-08-13,Topicos de Salud I Diagnostico Inicial,1,8,2025-08-13,,,,,Topicos de Salud II Diagnostico Inicial,1,9,2025-08-13,,,,,Introducción a la Ética Diagnostico Inicial,1,8,2025-08-13,,,,,Biologia Celular Diagnostico Inicial,1,10,2025-08-13,,,,,"Lectura y Redacción, Diagnostico Inicial",1,10,2025-08-13,,,,,"Matematicas, Diagnostico Inicial",1,9,2025-08-13,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,7,2025-08-13,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,9,2025-08-11,,1,9,2025-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,5,2025-07-29,,,,,Topicos de Salud I Diagnostico Inicial,1,5,2025-07-29,,,,,Topicos de Salud II Diagnostico Inicial,1,5,2025-07-29,,,,,Introducción a la Ética Diagnostico Inicial,1,6,2025-07-29,,,,,Biologia Celular Diagnostico Inicial,1,8,2025-07-29,,,,,"Lectura y Redacción, Diagnostico Inicial",1,7,2025-07-29,,,,,"Matematicas, Diagnostico Inicial",1,8,2025-07-29,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,3,2025-07-29,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,2,5,2025-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,4,2025-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,7,2025-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,8,2025-08-02,,,,,Topicos de Salud I Diagnostico Inicial,1,9,2025-08-02,,,,,Topicos de Salud II Diagnostico Inicial,1,5,2025-08-02,,,,,Introducción a la Ética Diagnostico Inicial,1,8,2025-08-02,,,,,Biologia Celular Diagnostico Inicial,1,8,2025-08-02,,,,,"Lectura y Redacción, Diagnostico Inicial",1,8,2025-08-02,,,,,"Matematicas, Diagnostico Inicial",1,6,2025-08-02,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,8,2025-08-02,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,8,2025-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,7,2025-08-02,,1,10,2025-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,6,2025-08-02,,2,10,2025-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,5,2025-08-02,,1,10,2025-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
