Escuela Ingreso,Licenciatura,Bioquimica Diagnostico Inicial,Intentos,Calificacion,Fecha,Bioquimica Diagnostico Final,Intentos,Calificacion,Fecha,Topicos de Salud I Diagnostico Inicial,Intentos,Calificacion,Fecha,Topicos de Salud I Diagnostico Final,Intentos,Calificacion,Fecha,Topicos de Salud II Diagnostico Inicial,Intentos,Calificacion,Fecha,Topicos de Salud II Diagnostico Final,Intentos,Calificacion,Fecha,Introducción a la Ética Diagnostico Inicial,Intentos,Calificacion,Fecha,Introducción a la Ética Diagnostico Final,Intentos,Calificacion,Fecha,Biologia Celular Diagnostico Inicial,Intentos,Calificacion,Fecha,Biologia Celular Diagnostico Final,Intentos,Calificacion,Fecha,"Lectura y Redacción, Diagnostico Inicial",Intentos,Calificacion,Fecha,"Lectura y Redacción, Diagnostico Final",Intentos,Calificacion,Fecha,"Matematicas, Diagnostico Inicial",Intentos,Calificacion,Fecha,"Matematicas, Diagnostico Final",Intentos,Calificacion,Fecha,"Estadistica en la investigación social, Diagnostico Inicial",Intentos,Calificacion,Fecha,"Estadistica en la investigación social, Diagnostico Final",Intentos,Calificacion,Fecha
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,5,2025-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,4,2025-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,8,2025-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,6,2025-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,6,2025-08-03,,,,,Topicos de Salud I Diagnostico Inicial,1,5,2025-08-03,,,,,Topicos de Salud II Diagnostico Inicial,1,7,2025-08-03,,,,,Introducción a la Ética Diagnostico Inicial,1,6,2025-08-03,,,,,Biologia Celular Diagnostico Inicial,1,9,2025-08-03,,,,,"Lectura y Redacción, Diagnostico Inicial",1,8,2025-08-03,,,,,"Matematicas, Diagnostico Inicial",1,7,2025-08-03,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,5,2025-08-03,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,8,2025-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,7,2025-08-03,,6,10,2025-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,6,2025-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,6,2025-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,7,2025-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,5,2025-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,6,2025-08-03,,,,,Topicos de Salud I Diagnostico Inicial,1,6,2025-08-03,,,,,Topicos de Salud II Diagnostico Inicial,1,7,2025-08-03,,,,,Introducción a la Ética Diagnostico Inicial,1,5,2025-08-03,,,,,Biologia Celular Diagnostico Inicial,1,7,2025-08-03,,,,,"Lectura y Redacción, Diagnostico Inicial",1,8,2025-08-03,,,,,"Matematicas, Diagnostico Inicial",1,5,2025-08-03,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,6,2025-08-03,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,8,2025-08-08,,2,10,2025-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,5,2025-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,4,2025-08-03,,1,10,2025-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,5,2025-08-03,,1,8,2025-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,7,2025-08-03,,1,9,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,7,2025-08-03,,,,,Topicos de Salud I Diagnostico Inicial,1,6,2025-08-03,,,,,,,,,,,,,Introducción a la Ética Diagnostico Inicial,1,7,2025-08-03,,,,,Biologia Celular Diagnostico Inicial,1,8,2025-08-03,,,,,"Lectura y Redacción, Diagnostico Inicial",1,9,2025-08-03,,,,,,,,,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,7,2025-08-03,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,4,2025-08-03,,6,10,2025-08-16,,,,,,,,,Topicos de Salud II Diagnostico Inicial,1,6,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,2,7,2025-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,7,2025-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,6,2025-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,3,2025-08-02,,2,10,2025-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,7,2025-08-03,,4,9,2025-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,5,5,2025-08-03,,1,9,2025-08-12,Topicos de Salud I Diagnostico Inicial,2,6,2025-08-03,,,,,,,,,,,,,Introducción a la Ética Diagnostico Inicial,1,8,2025-08-03,,,,,Biologia Celular Diagnostico Inicial,1,8,2025-08-03,,,,,,,,,,,,,"Matematicas, Diagnostico Inicial",2,6,2025-08-03,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,0,2025-08-03,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,4,2025-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,7,2025-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,5,2025-08-03,,3,10,2025-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,6,2025-08-03,,1,10,2025-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,5,2025-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,6,2025-08-05,,,,,Topicos de Salud I Diagnostico Inicial,1,3,2025-08-07,,,,,Topicos de Salud II Diagnostico Inicial,1,6,2025-08-07,,,,,Introducción a la Ética Diagnostico Inicial,1,7,2025-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,7,2025-08-07,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,6,2025-08-05,,,,,Topicos de Salud I Diagnostico Inicial,1,3,2025-08-07,,,,,Topicos de Salud II Diagnostico Inicial,1,6,2025-08-07,,,,,Introducción a la Ética Diagnostico Inicial,1,7,2025-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,7,2025-08-07,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,6,2025-08-05,,,,,Topicos de Salud I Diagnostico Inicial,1,3,2025-08-07,,,,,Topicos de Salud II Diagnostico Inicial,1,6,2025-08-07,,,,,Introducción a la Ética Diagnostico Inicial,1,7,2025-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,7,2025-08-07,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,6,2025-08-05,,,,,Topicos de Salud I Diagnostico Inicial,1,3,2025-08-07,,,,,Topicos de Salud II Diagnostico Inicial,1,6,2025-08-07,,,,,Introducción a la Ética Diagnostico Inicial,1,7,2025-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,7,2025-08-07,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,6,2025-08-05,,,,,Topicos de Salud I Diagnostico Inicial,1,3,2025-08-07,,,,,Topicos de Salud II Diagnostico Inicial,1,6,2025-08-07,,,,,Introducción a la Ética Diagnostico Inicial,1,7,2025-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,7,2025-08-07,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,6,2025-08-05,,,,,Topicos de Salud I Diagnostico Inicial,1,3,2025-08-07,,,,,Topicos de Salud II Diagnostico Inicial,1,6,2025-08-07,,,,,Introducción a la Ética Diagnostico Inicial,1,7,2025-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,7,2025-08-07,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,6,2025-08-05,,,,,Topicos de Salud I Diagnostico Inicial,1,3,2025-08-07,,,,,Topicos de Salud II Diagnostico Inicial,1,6,2025-08-07,,,,,Introducción a la Ética Diagnostico Inicial,1,7,2025-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,7,2025-08-07,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,6,2025-08-05,,,,,Topicos de Salud I Diagnostico Inicial,1,3,2025-08-07,,,,,Topicos de Salud II Diagnostico Inicial,1,6,2025-08-07,,,,,Introducción a la Ética Diagnostico Inicial,1,7,2025-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,7,2025-08-07,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,6,2025-08-05,,,,,Topicos de Salud I Diagnostico Inicial,1,3,2025-08-07,,,,,Topicos de Salud II Diagnostico Inicial,1,6,2025-08-07,,,,,Introducción a la Ética Diagnostico Inicial,1,7,2025-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,7,2025-08-07,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,6,2025-08-05,,,,,Topicos de Salud I Diagnostico Inicial,1,3,2025-08-07,,,,,Topicos de Salud II Diagnostico Inicial,1,6,2025-08-07,,,,,Introducción a la Ética Diagnostico Inicial,1,7,2025-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,7,2025-08-07,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,6,2025-08-05,,,,,Topicos de Salud I Diagnostico Inicial,1,3,2025-08-07,,,,,Topicos de Salud II Diagnostico Inicial,1,6,2025-08-07,,,,,Introducción a la Ética Diagnostico Inicial,1,7,2025-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,7,2025-08-07,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,6,2025-08-05,,,,,Topicos de Salud I Diagnostico Inicial,1,3,2025-08-07,,,,,Topicos de Salud II Diagnostico Inicial,1,6,2025-08-07,,,,,Introducción a la Ética Diagnostico Inicial,1,7,2025-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,7,2025-08-07,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,5,2025-08-09,,4,10,2025-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,7,2025-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,10,2025-08-03,,1,10,2025-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,7,2025-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,5,2025-08-06,,3,10,2025-08-13,Topicos de Salud I Diagnostico Inicial,1,8,2025-08-06,,,,,Topicos de Salud II Diagnostico Inicial,1,8,2025-08-06,,,,,Introducción a la Ética Diagnostico Inicial,1,8,2025-08-06,,,,,Biologia Celular Diagnostico Inicial,1,8,2025-08-06,,,,,"Lectura y Redacción, Diagnostico Inicial",1,8,2025-08-06,,,,,"Matematicas, Diagnostico Inicial",1,10,2025-08-06,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,7,2025-08-06,,,,
fm-cu,medico_cirujano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,6,2025-08-03,,1,10,2025-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,4,2025-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,5,2025-08-03,,1,10,2025-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,6,2025-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,3,2025-08-09,,1,9,2025-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,7,2025-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,5,2025-08-09,,4,9,2025-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,5,2025-08-06,,2,10,2025-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,6,2025-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,10,2025-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,5,2025-08-12,,1,10,2025-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,5,2025-08-12,,1,10,2025-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,7,2025-08-04,,2,10,2025-08-15,Topicos de Salud I Diagnostico Inicial,1,8,2025-08-06,,,,,Topicos de Salud II Diagnostico Inicial,1,5,2025-08-04,,,,,Introducción a la Ética Diagnostico Inicial,1,7,2025-08-06,,,,,Biologia Celular Diagnostico Inicial,1,8,2025-08-06,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,2025-08-04,,,,,"Matematicas, Diagnostico Inicial",1,5,2025-08-06,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,6,2025-08-06,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,7,2025-08-04,,2,10,2025-08-15,Topicos de Salud I Diagnostico Inicial,1,8,2025-08-06,,,,,Topicos de Salud II Diagnostico Inicial,1,5,2025-08-04,,,,,Introducción a la Ética Diagnostico Inicial,1,7,2025-08-06,,,,,Biologia Celular Diagnostico Inicial,1,8,2025-08-06,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,2025-08-04,,,,,"Matematicas, Diagnostico Inicial",1,5,2025-08-06,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,6,2025-08-06,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,6,2025-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,9,2025-08-12,,1,10,2025-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,5,2025-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,6,2025-08-03,,1,10,2025-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,4,2025-08-04,,,,,Topicos de Salud I Diagnostico Inicial,1,3,2025-08-11,,,,,Topicos de Salud II Diagnostico Inicial,1,7,2025-08-11,,,,,Introducción a la Ética Diagnostico Inicial,1,6,2025-08-11,,,,,Biologia Celular Diagnostico Inicial,1,9,2025-08-11,,,,,"Lectura y Redacción, Diagnostico Inicial",1,8,2025-08-11,,,,,"Matematicas, Diagnostico Inicial",1,10,2025-08-11,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,7,2025-08-11,,,,
fm-cu,medico_cirujano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,9,2025-08-03,,,,,Topicos de Salud I Diagnostico Inicial,1,9,2025-08-03,,,,,Topicos de Salud II Diagnostico Inicial,1,7,2025-08-14,,,,,Introducción a la Ética Diagnostico Inicial,1,8,2025-08-14,,,,,Biologia Celular Diagnostico Inicial,1,8,2025-08-14,,,,,"Lectura y Redacción, Diagnostico Inicial",1,9,2025-08-03,,,,,"Matematicas, Diagnostico Inicial",1,7,2025-08-14,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,7,2025-08-14,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,4,2025-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,2,2025-08-03,,,,,Topicos de Salud I Diagnostico Inicial,1,10,2025-08-03,,,,,Topicos de Salud II Diagnostico Inicial,1,3,2025-08-03,,,,,Introducción a la Ética Diagnostico Inicial,1,5,2025-08-03,,,,,Biologia Celular Diagnostico Inicial,1,8,2025-08-03,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,2025-08-03,,,,,"Matematicas, Diagnostico Inicial",1,10,2025-08-03,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,9,2025-08-03,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,4,2025-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,7,2025-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,6,2025-08-03,,3,10,2025-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,8,2025-08-03,,,,,Topicos de Salud I Diagnostico Inicial,1,8,2025-08-03,,,,,Topicos de Salud II Diagnostico Inicial,1,6,2025-08-03,,,,,Introducción a la Ética Diagnostico Inicial,1,9,2025-08-05,,,,,Biologia Celular Diagnostico Inicial,1,8,2025-08-03,,,,,"Lectura y Redacción, Diagnostico Inicial",1,7,2025-08-05,,,,,"Matematicas, Diagnostico Inicial",1,10,2025-08-05,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,6,2025-08-04,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,3,2025-08-04,,3,10,2025-08-07,Topicos de Salud I Diagnostico Inicial,1,4,2025-08-04,Topicos de Salud I Diagnostico Final,3,10,2025-08-10,Topicos de Salud II Diagnostico Inicial,1,7,2025-08-04,,,,,Introducción a la Ética Diagnostico Inicial,1,7,2025-08-04,,,,,Biologia Celular Diagnostico Inicial,1,6,2025-08-04,,,,,"Lectura y Redacción, Diagnostico Inicial",1,8,2025-08-04,,,,,"Matematicas, Diagnostico Inicial",1,10,2025-08-04,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,8,2025-08-04,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,7,2025-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,6,2025-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,10,2025-08-03,,5,10,2025-08-08,Topicos de Salud I Diagnostico Inicial,1,9,2025-08-07,Topicos de Salud I Diagnostico Final,1,10,2025-08-08,Topicos de Salud II Diagnostico Inicial,1,9,2025-08-07,Topicos de Salud II Diagnostico Final,3,10,2025-08-08,Introducción a la Ética Diagnostico Inicial,1,8,2025-08-07,Introducción a la Ética Diagnostico Final,1,10,2025-08-08,Biologia Celular Diagnostico Inicial,1,8,2025-08-05,Biologia Celular Diagnostico Final,1,10,2025-08-08,"Lectura y Redacción, Diagnostico Inicial",1,8,2025-08-07,"Lectura y Redacción, Diagnostico Final",3,10,2025-08-08,"Matematicas, Diagnostico Inicial",1,9,2025-08-07,"Matematicas, Diagnostico Final",2,10,2025-08-08,"Estadistica en la investigación social, Diagnostico Inicial",1,9,2025-08-07,"Estadistica en la investigación social, Diagnostico Final",4,10,2025-08-08
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,3,2025-08-03,,3,9,2025-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,6,2025-08-03,,,,,Topicos de Salud I Diagnostico Inicial,1,6,2025-08-03,,,,,Topicos de Salud II Diagnostico Inicial,1,7,2025-08-03,,,,,Introducción a la Ética Diagnostico Inicial,1,5,2025-08-03,,,,,Biologia Celular Diagnostico Inicial,1,7,2025-08-03,,,,,"Lectura y Redacción, Diagnostico Inicial",1,8,2025-08-03,,,,,"Matematicas, Diagnostico Inicial",1,5,2025-08-03,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,6,2025-08-03,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,6,2025-08-04,,2,9,2025-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
